video_id,ground_truth,prediction,logic_type,step1_flagged_count,extracted_snippet
2FaxXlUmfUM,real,fake,llm_partial_context,12,ワクチンを接種した人の接種前と接種後の生死の数や運動能力を比べた研究では全く落ちていない。少なくともワクチンによって寿命が落ちる可能性は極めて低く、逆に新型コロナにかかるとその恐れは決して無視できないぐらいあるということになります。
jZz4q3Qbn84,real,fake,llm_partial_context,11,車に入るのを躊躇するっていうぐらいだと思うんですけど、その感覚が非常に正しいということですね。
bgVtQej8Vog,real,fake,llm_partial_context,6,体というのは全部波動でできているのですが、この波動をうまく利用することによって骨の量もコントロールできたという文献がありますので、ぜひ参考にしていただければと思います。
G2X9FVLbi0c,real,fake,llm_partial_context,14,"ファイザー、モデルナ、第一三共、この3つで2,527万回分が供給されると、大体全体の8割でこの3つです。"
QZzfn8TRmV0,real,fake,llm_partial_context,17,「多分大丈夫」というのが僕の答えです。
chBwF_r2EE8,real,fake,llm_partial_context,23,バック療法の目的は、自己免疫力の強化により、正常な細胞は攻撃せず、ガン細胞だけを駆除する、極めて副作用の少ないガンの治療法です。
EX1WrQBVS4w,real,fake,llm_partial_context,18,彼は正しい意見を持っています。
d0a1fCPpnSw,real,fake,llm_partial_context,20,特に食事と慢性炎症は非常に密接に関係していて、食品の高すぎる摂取カロリーや塩分、加工食品や人工添加物、野菜不足や必要以上の食事など、これらは慢性炎症を引き起こす原因として盛んに研究がなされています。
4nmETE4RS4A,real,fake,llm_partial_context,18,レプリコンワクチンを打った方から、打っていない方に、ワクチンに含まれる新型コロナウイルスの遺伝情報やタンパク質が伝播するのではないかということです。
4DUHgBM9nOs,real,fake,llm_partial_context,24,野菜には農薬の残留が多く、心配なものが潜んでいます。
wcIlVvVGHvc,real,fake,llm_partial_context,7,酸素ボックスの原理としてご紹介されているのが、酸素ボックスによって空気圧状態になるわけですね。酸素ボックス内では空気圧状態を作り出し、圧力が体内のリンパを刺激するというわけですね。それを刺激することによって、リンパの流れや血流が良くなって効果が出るというところですね。
6UjRahtDnhs,real,fake,llm_partial_context,9,ワクチンによって免疫が活性化されて、それと同じように血小板を活性化させる抗体ができてしまって、それが原因で血栓ができたりとか、あるいは血小板の減少につながってしまうということがわかったということになるんですね。
HK14W0GQ0oM,real,fake,llm_partial_context,37,実際にアメリカ国立がん研究所は、適切な食事と栄養、身体活動によってがんの約30～40％は予防できると声明を出しています。
Dz7Y2Q00GYY,real,fake,llm_partial_context,17,結論として、そういった被害の状況などは…はい、ございませんね。
qFDpIJpBOsc,real,fake,llm_partial_context,23,キムチが乳酸菌の働きにより発酵した食品であるということは、すなわち腸内環境を整える効果が期待できるということだぜ。
DVR-TepHVWI,real,fake,llm_partial_context,14,ドンキホーテの成分量を見ると、食欲が一気に減退してしまうかもしれない。
RiC05ZB_r4Y,real,fake,llm_partial_context,8,グルタミン酸ってね、結構な量が吸収されずに腸でも直接使われるんです。腸の壁を保護するために使われたり、腸自体のエネルギー源として使われたりっていうことで、あまり吸収されずに、もう直接使われるような、そういったアミノ酸なんです。なので、たくさん取ってもそこまで体の中には入らないんです。
taq7CCtjD-k,real,fake,llm_partial_context,18,やっぱり冷奴はネギと生姜に、醤油をちょっと垂らして食べるのが美味しいわよね。
RAYWqr1sezs,real,fake,llm_partial_context,20,「これ新型コロナウイルス感染症の発症を予防します」と書いてあるんですけども、一方で「現時点では感染予防効果は十分には明らかになっていません」と、これ最初の記載のままなんですね。
vPP2bib5VFU,real,fake,llm_partial_context,19,NMNは最初は動物実験、マウスだったと思うんですけど、マウスの寿命を1.6倍くらい延ばせたと報告があって注目されるようになった成分なんですよね。
lzVyIe2mm4s,real,fake,llm_partial_context,9,再発後、どんな治療をしたにしても4年間じっとしているということは通常ないです。今までの治療では見ない経過。悪性度の高い脳腫瘍では、手術など標準的な治療をした後に再発した場合、1年後の生存率が15％程度とされていますが、臨床試験でこの薬を使った人は1年後の生存率が92％という結果でした。
U7KIkLX2OD0,real,fake,llm_partial_context,13,現場の臨床から言うと、コロナの患者がいた場合、飛沫とかでね、うつるんですが、飛沫を浴びた場合に何が起きるか。ある人は感染して、39度熱が出て、嗅覚障害が起きて、咳が出る。感染したけども、これ現場ですごいよくあるんですけども、36.2度、大人で、全く症状がない。それか子供さん、感染しなくて、子供ですから体温高めない、37度。どっちの子もいれば、子供で感染して40度出て、咳が出て、お腹の症状が出る子も
bjqzuMUwuho,real,fake,llm_partial_context,15,結論として、僕、分かりませんね。なんで分からないかっていうと、もうエビデンスデータがまだまだ全然足りないからなんですよね。
UH07QLskCvY,real,fake,llm_partial_context,14,水素水というのは水素が溶け込んだ水のことを指しております。水素水は無味、無臭、無色の液体になります。
uo_rYpnWy3U,real,fake,llm_partial_context,24,ワクチンを打つとですね、100人感染者が減ります。これは絶対なんですね。
DGKt_XsFXYo,real,fake,llm_partial_context,23,がんは熱に弱いので、高熱を作り出してがんを治すという治療法が生まれました。
qDjHlBoyBDU,real,fake,llm_partial_context,12,「ゼロ」「フリー」「オフ」「カット」などの表記がある食品
2Gexz-jf9l8,real,fake,llm_partial_context,27,油ギトギトでゲロマズだったワイの手作りペペロンチーノが、味の素一振りだけで一気に平均的なペペロンチーノの味になってくさ。あんなん美味いやろ。
1AVGR6IiWL8,real,fake,llm_partial_context,44,フライドポテトを週に2回以上食べると死亡リスクがおよそ2倍に上昇することが分かりました。
RWJz4DXKuXk,real,fake,llm_partial_context,45,ミニマムアクセス米には農薬のメタミドホスが…」
amcDf9KilZo,real,fake,llm_partial_context,15,コハルが甘いものばっかり食べていると、それをその菌が食べて、仲間がいっぱいになったところで酸を作り出して、歯を溶かしていくってわけ。
uzIarWMO_5w,real,fake,llm_partial_context,27,「視覚対象がひどすぎる」その話はもういいわよ。
DAyQkSpzSBA,real,fake,llm_partial_context,24,旨味が入ってるから、塩分少なくても大丈夫です。
Czi_TTJ1wOc,real,fake,llm_partial_context,32,メッセンジャーRNAワクチンっていうのは、例えばコロナだったらスパイクタンパクの設計図、これを打つことによってそのままリボソームでタンパク質に変えるんですよね。だから1対1の対応になるんですけれども、今度のセルフアンプリファイングRNAレプリコンワクチンっていうのは、ここのスパイクタンパクだったりとかターゲットとなる抗原の設計図の前にですね、アルファウイルスの複製ですね、RdRpコンプレックスと言
3Zg8oRdF7t8,real,fake,llm_partial_context,6,「化学調味料」って言うと、危なそう、体に悪そう、健康被害に繋がりそう…また「化学調味料」で検索すると「危険」と出てくるし、危ないものなのかなと思っている方、多いのではないでしょうか？その答えはノーです。私は危険とは思えません。
6oQMP6_fDjA,real,fake,llm_partial_context,10,NACを使用するといずれですね、このNF1というタンパク質ですね、そのタンパク質が失われることによって治療抵抗性になっちゃうわけなんですが、これはですね、皮膚がんとか卵巣がんとか、それから子宮がんとか、肺がんとか膀胱がんとかですね、まあそういったものに対して薬剤耐性を示すメカニズムとして報告されていると。
jdBlN__m-h0,real,fake,llm_partial_context,9,人工甘味料というのは、甘さは砂糖よりもはるかに強いんですけれども、血糖値を上げないよ、と。なので、血糖値が上がって、それによってインスリンが大量に出て…っていうようなことを抑えたりとか、全身の炎症を抑えていくというようなことで、一時期はすごく注目されたんですけれども、その頃から私はちょっと怪しいなと思っていて、自分自身、人工甘味料が入ったようなダイエット飲料だったりとか、ダイエット食品というのは避
m9MxHK_2Qc8,real,fake,llm_partial_context,12,この布に磁力をかけると、抗がんメッシュが縮みました。
qiJy8KMMlSM,real,fake,llm_partial_context,18,MSG、モノソジウムグルタミン酸大好きだよ！
WTCzFLkEM5Q,fake,real,llm_partial_context,22,脳の血管が詰まるとどんなことが起きるの？霊夢も聞いたことがあると思うけど、最悪の場合、死に繋がる危険性だってあるからな。
C389CPj5rKs,fake,real,llm_partial_context,28,クエン酸というのは、お酢やレモンなどの柑橘系に含まれる酸味成分の一種になります。
uXarjBdCbzA,fake,real,llm_partial_context,17,ワクチン接種された実験用のネズミが2年で全て死んだ（これは笑い話ですね。実験用のネズミの寿命が、まあ、マウスですね、そもそも2年程度ですから。ワクチンを接種した人間が100年で全て死んだと言っているのと同じことです。全く科学的な意味がないですね）。
g6VR-B0GaS4,fake,real,llm_partial_context,36,梅干しやレモンのように酸っぱいものが体に良いと昔から言われていて、親から言われて食べている方もいらっしゃると思います。
b_lhvC74M34,fake,real,llm_partial_context,3,新型コロナウイルスは、SARSやMERSに比べ致死率が低いですが、インフルエンザの100倍の致死率です。
yE2O38dSCbc,fake,real,auto_real_step1,0,
zpoulFzWaP4,fake,real,llm_partial_context,24,ビタミンDサプリメントを1年以上ですね、1万から2万IUで毎日摂っていたと。これ非常に大量摂取になるわけですよ。
q65UA4ZkTv8,fake,real,llm_partial_context,6,ガン細胞を刺激するとそれが再発のためのガンが飛び散るんじゃないかという心配がどうしてもあるみたいです。
G35dCGSZUdM,fake,real,llm_partial_context,22,日本の3年間で人口がめちゃくちゃ減っている
pLuGwCaPH2w,fake,real,llm_partial_context,1,「だって、子どもたちが死ぬのを見たくない。それが一番」
J0vjNQtFM4M,fake,real,auto_real_step1,0,
05XIGj7NlQ4,fake,real,llm_partial_context,9,スーパーで販売している刺身の中に、危険な添加物や原材料が入っていることもあることをご存知でしょうか？
rSVXyXzvkkU,fake,real,llm_partial_context,8,プロトンポンプ阻害剤を長期に内服している人では、胃増がんの発症リスクが、いわゆる一般国民の発症リスクと比べて22倍に上昇していました。
r_k-UrhWks8,fake,real,llm_partial_context,12,新型コロナで入院したら費用はどれぐらいになるか
iWmu_b94CB8,fake,real,llm_partial_context,34,慢性炎症が体をボロボロにすることは常識になりましたが、本来の炎症は体の防御反応です。
DiecMQx2Il8,fake,real,llm_partial_context,27,これはね、もう絶対ダメですよ。未成年者はお酒を飲んじゃいけません。
wvEvPvF6yS4,fake,real,llm_partial_context,13,これはね、重曹とクエン酸を混ぜると炭酸ができるんですよ。重曹を1gくらい入れて、クエン酸を1gくらい入れて、水を少し入れて振ると、炭酸ができます。これ、ちょっとした飲み物としても楽しめますよ。
UDYLZB3xfr4,fake,real,llm_partial_context,45,「ワクチンを打つと不倫になる」「ワクチンの成分が卵巣に蓄積する」ってことで「電子が組み替えられる」「知見がまだ終わってない」「あと2年以内にマウスが全部死んだから危ない」ってこと。
cgEAASybGls,fake,real,llm_partial_context,25,クエン酸は疲労回復効果、ミネラル吸収の促進効果、尿酸値を下げる効果などが有名です。
EY2WdZoMxb0,fake,real,llm_partial_context,26,腎臓が悪くなると腎臓病だけでなく、命の危険にも関わるような病気の原因である脂質異常症にもなりやすいことをご理解いただけたかと思います。
I3HlQPU6k1A,fake,real,llm_partial_context,28,感染が増えたことに関して言うと、3月上旬の大統領選で集会が非常にたくさん行われたことが関係しているのではないかと見られているんですね。
TvdpPGErVDU,fake,real,llm_partial_context,20,新型コロナウイルスは流行当初は正体不明のウイルスでしたが、2020年2月に起きたダイヤモンド・プリンセス号の一件をきっかけに、感染しても無症状の人が多い、致死率はさほど高くないといったことが分かってきました。
PpZ1l8Hokm8,fake,real,llm_partial_context,7,調味料（アミノ酸等）と「調味料（アミノ酸）」の違いについて説明しました。
3_QUkFuFJLE,fake,real,llm_partial_context,19,霊夢：大豆の産地を確認することが重要で、安心して豆腐を食べるためには、国産の大豆を使用している商品を選ぶようにするといいのよね。
vivn1UyoT4o,fake,real,llm_partial_context,26,グルタミン酸は、人間の舌で感じることができる５つ目の基本味として認識されているんだ。
5dxZ5L6QQQ8,fake,real,llm_partial_context,30,実は最近、毎朝レモン水を飲んでいるんですが、これで長年の便秘が完全に治ったんです。
iIZHVTjz1vg,fake,real,llm_partial_context,31,病院治療をやっている病院で、看護師まで面倒を見てくれるとは限らないんですね。担当医から「もう治療法がありません」「ここではもうできることはありません」というひどい表現で、ショックを受けるがん患者さんが結構います。
7aOqsBK7IBE,fake,real,auto_real_step1,0,
cqUhVc2q6Tw,fake,real,llm_partial_context,27,日焼け止めは正しい選び方、正しい使い方をしないと、健康に悪影響を及ぼすんだ。
VXjf2TfWxrg,fake,real,llm_partial_context,20,薬の値段についてなんですけれども、新しく開発された抗がん剤などのがん治療薬はどんどん高くなっていて、今では驚くほど高額であるということです。例えば、よく話題になるのがオプジーボなどの免疫チェックポイント阻害薬なんですが、実際に1ヶ月あたりの薬の値段は100万円、年間で1000万円以上も別に珍しいことではありません。
26tYULo1vbk,fake,real,llm_partial_context,24,実際に、長期間添加物を摂取していると、ガン、糖尿病、神経障害、精神疾患などを引き起こすリスクが高まります。
iBEe4UdV5wg,fake,real,llm_partial_context,22,発症予防効果は95％となっているんですね。95％というアメリカでのデータは出ているんですけれども、実際にはまだちょっとよくわかりませんよと。
R3jDAiF1f8U,fake,real,llm_partial_context,7,光感受性物質に対してレーザー光線を与えると熱が発生して、それでがんが崩壊していきます。
UaC6jKyHxCE,fake,real,llm_partial_context,13,医者がやらないからと言って、絶対ダメだとは言い切れないんですけど、そのあたりちょっと多めに見ていただけるといいんじゃないかなと思いますね。
qulq2mPVviE,fake,real,llm_partial_context,11,糖質の代謝が遺伝子に影響を及ぼしてがん化を早める可能性があるということです。
HE7hUOqe0G0,fake,real,llm_partial_context,16,特に、人工甘味料の中でもアスパルテームは発癌性のリスクがあるとされており、国際がん研究機関（IARC）は2Bに指定しています。
q7x7IWPIAgw,fake,real,llm_partial_context,26,肝臓を壊してしまうとですね、体内の毒素を分解したりとか、栄養を取り入れることが難しくなり、そしていずれは死に至るという、生命のためにとても重要な内臓なんですよ。
wN3HGUSsI10,fake,real,llm_partial_context,6,ガンそのものの細胞、ガン細胞自体がどんどん増殖するんですね。悪性化が進行するということで、つまり最初の段階でガン細胞というのは割と「立ち」の良い、ガン細胞の中でも「立ち」の良いタイプということが多いんですね。だから進行はゆっくり、だけども進行して大きくなってくるとガン細胞が増えて、その中にどんどん突然変異を繰り返していって、より進行が早く「立ち」の悪いガン細胞がどんどん出てくるわけです。
9cXvJEd_mCA,fake,real,llm_partial_context,27,大腸がんの初発症状4点。1つ目がこちら、便が細くなることです。
9sg3hUzA-oc,fake,real,llm_partial_context,19,この研究でも、食事の改善によって大腸がんのリスクを最大で70％減らすことができると報告されています。
xxhlC9l0AFs,fake,real,llm_partial_context,26,アスパルテームは200倍にしてコーラゼロをただのコーラにしてやったぜ。もう全身ガンまみれだぜ。悪っ。
zkJ5ZnPezsU,fake,real,llm_partial_context,15,がんは放置した方がいい
LOxMA3DaOkQ,fake,real,llm_partial_context,16,炭酸水を飲むことで、炭酸水に含まれるガスによって胃が膨張するので、脳が満腹を感じやすくなります。
1AxFA2znV4A,fake,real,llm_partial_context,18,クレアチニンとか尿素窒素とか、最近ではeGFRと言って、年齢を相関したような腎臓の機能を評価する数値があるんですけど、比較的そういうのが高い方、以前に比べてなんとなく体感としてね、多くなってるなっていうのが実感で、文献的なのを調べてみると、40代以降の方で割とやっぱりそういうリスクが多くなって、慢性の腎不全・腎障害（CKD）っていう考え方が、ここ10年ぐらいなのかな？開業してる医者でも認識するよう
7POcoWDb2Qg,fake,real,llm_partial_context,11,これはカリフォルニア州など海外では、ポテトチップスには警告表示がされている場所もあります。
k6CGls23nZU,fake,real,llm_partial_context,8,ビタミンCが肌に良いとか体に良いというのは皆さんもご存じだと思います。
7CmG_00x-QQ,fake,real,llm_partial_context,13,「mRNAワクチンは人類に初めて使用される新しい基準の薬剤」というふうに書かれてるんですね。しかし、これは以前も解説しましたように、mRNAワクチンは今回が人類初ではないんですね。これまでも様々な研究というのがなされてきていて、特に狂犬病へのmRNAワクチンは、これは実際、またいつもの通り概要欄にリンク貼っておきますが、2013年から2018年まで研究されているということがわかります。年代の観察歴
oW7drK53t8Y,fake,real,auto_real_step1,0,
JwhFbpjveLg,fake,real,auto_real_step1,0,
ZRx6yR8cvME,fake,real,llm_partial_context,23,酸素カプセルに入っても酸素含有量はほとんど増加しません。
gEhuVWEMZbM,fake,real,llm_partial_context,46,統計によれば、日本人の1日あたりの平均塩分摂取量は約10gで、1日の摂取目安量である7gを大幅に上回っています。
nTSVJ0eNGVE,fake,real,llm_partial_context,31,「その日は夕方に心肝と呼ばれる初回の患者さんがいらしたのです。その中に男性に話を伺うと、実は去年の今頃がんと診断されたのですが、色々調べたらがんは治療しない方がいい、抗がん剤は危ない、こういうサプリがいいという情報が出てきて、それで病院に行くのをやめたんです。検査をするとがんは体中に転移してもはや手術でどうしようもない、取り切れない状態でした。去年診断した時に受けていた検査結果を見ると、ステージは
gA5tExafNHA,fake,real,llm_partial_context,13,実際には、NMNが体に良さそうって聞いたから飲むというのはちょっと危ない。気をつけてくださいね。
CgicSea1iXU,fake,real,llm_partial_context,7,合成ビタミンCの健康面で懸念される悪影響、その1は遺伝子組み換えの問題です。合成ビタミンCの原料は、大量生産しやすいように遺伝子組み換えが行われたトウモロコシや芋が使われていることが多いんです。つまり、生成された合成ビタミンCというのは、遺伝子組み換えの影響が含まれている可能性が残っているんです。
BRZvVI3z9mg,fake,real,llm_partial_context,8,アニサキスは、がんの臭いを検出し、移動してがんに付着できる可能性があるとする研究結果も発表されています。
n1XJ9pZEXFY,fake,real,llm_partial_context,41,がんは病名ではなくて疾患ジャンルなんですね。東洋医学とか東洋医療とかいうのも希望されるかと思いますが、東洋医学よりも西洋医学がなぜ今主流となっているかという話。まともな医師ほど治療の見通しには慎重ですが、逆に商売の業者というのは、ほぼ治ると断言するんですね。
3_dxiklEjjY,fake,real,llm_partial_context,8,これは利益相反であり、問題だと思いますが、見直すお考えはありませんか？
6HNUaX5-lOs,fake,real,llm_partial_context,36,血管の老化、そして動脈硬化は30代頃からすでに始まっているんですよ。
yyLH4dqGhSA,fake,real,llm_partial_context,22,コーヒーフレッシュは植物性の油脂に水を加え、添加物を多く加えたもので、トランス脂肪酸が含まれていることが多いです。トランス脂肪酸は心臓病などのリスクを高めるため、非常に体に良くないとされています。
8mWe1AMK2J8,fake,real,auto_real_step1,0,
xQhAppZDq4M,fake,real,llm_partial_context,12,これにより、細胞の修復や再生を促進する力があります。
oHoeHF8kJsE,fake,real,llm_partial_context,7,ワクチンを打った状態で感染すると、より強固に免疫を得ることができるんですけれども、ワクチンを打たずに感染をするとですね、結構免疫の付きが悪くて、何度も感染をしてしまうというようなことにもなります。
-3Vm7uZ0C38,fake,real,llm_partial_context,35,添加物を摂取することによって体内のミネラルやビタミンなどの栄養素が、添加物の対応に追われて消耗してしまうからです。
JPe6sdPrqOU,fake,real,auto_real_step1,0,
gvtms5hpdC4,fake,real,llm_partial_context,22,非常にこのオミクロン、新型コロナのオミクロンというのが拡大を続けている状況なわけなんですね。
k5MQTd0DOOw,fake,real,auto_real_step1,0,
7RpyRHjsaK4,fake,real,llm_partial_context,14,日本では認可されている食品添加物の数は約1500です。
RRY0IcjuvAk,fake,real,llm_partial_context,40,オートファジーと生命科学の最先端というテーマでお届けします。日本としてはノーベル賞の受賞した研究テーマで、まして近年、近日中に第2弾のノーベル賞がここから生まれるだろう
6teJz8ANfJE,fake,real,llm_partial_context,8,歯周病菌として有名なポルフィロモナス・ジンジバリスという細菌がいるんですけども、この細菌はですね、糖尿病とかですね、動脈硬化に大いに関連しているということがわかっているわけです。
k_kl8-WrwPw,fake,real,llm_partial_context,35,がん細胞を選んで、そこに光を当てると、がん細胞だけが破壊されるというような仕組みになっている治療ですね。
_OTxUqlpwCE,fake,real,llm_partial_context,5,加工肉の摂取が増えると、大腸癌や乳癌のリスクが増えるという報告があります。
eGbyNa-RVVQ,fake,real,llm_partial_context,13,スパイクタンパク質の酸性が急激に増加。デプリコンワクチン接種後、わずか1週間でスパイクタンパク質の量は最大に達する。
YMiCDBNW3dE,fake,real,llm_partial_context,8,がんの特定ができないので、「使える抗がん剤はない」と主治医に以前言われました。
WVoKkCiuDRY,fake,real,llm_partial_context,20,幸奈さんの1日の大半はベッドの上。1年以上も寝たきりの生活が続いています。
3eo5BE8jg8E,fake,real,llm_partial_context,10,冷凍食品の多くは超加工食品として分類され、これらの食品は便利で手軽な上、長期保存が可能となるため、多くの人にとって魅力的な選択肢となりますね。しかし、超加工食品には糖分や脂肪分、塩分などが過剰に含まれているので注意が必要です。
s_oErtYixCg,fake,real,llm_partial_context,9,日本人800人でのファイザー製ワクチン（コミナティ）と今回のコビスタエブとの比較試験では、副作用の発現率はだいたい同じくらいです。
QJfF50fhSIA,fake,real,llm_partial_context,21,実際に日本人の2人に1人ががんに罹患し、その20%の人が亡くなると言われています。
0RZrCUvBvHM,fake,real,llm_partial_context,10,竹見大臣からは、「シェディングという現象が科学的知見として現在存在するのだということについては、全く承知していないので答えようがない」とのご答弁をいただきました。
zMGYpz2uJVA,fake,real,llm_partial_context,5,「この食べ物を食べてガンを治しましょう」とか「この食べ物を食べて長生きしましょう」というのはありえない話ですので。
6FwDiKWksxg,fake,real,auto_real_step1,0,
WKHghDK3VLg,fake,real,auto_real_step1,0,
2j4drwyCOww,fake,real,llm_partial_context,13,特に、亜硝酸塩と亜硝酸ナトリウムは、がんを引き起こす可能性のあるニトロソアミンに変わる事が知られています。
1_iz-oCIdwg,fake,real,llm_partial_context,7,「何時の食事を薬とし、何時の薬は食事とせよ」。この言葉ですね、医学の祖と呼ばれるヒポクラテスの言葉なんですね。
wzEkJMd1R5k,fake,real,llm_partial_context,9,低脂肪乳製品の摂取量が最も多いグループでは、最も少ないグループに比べて大腸がんの再発リスクが40％低下していました。
q89K_tCqGU8,fake,real,llm_partial_context,21,がんの要因は、喫煙と食事が6割を占めます。
9nZO3uv308A,fake,real,llm_partial_context,25,多くのグラノラ商品には多量の砂糖、精製油が含まれます。
fvf3jKi4NKg,fake,real,llm_partial_context,13,今日の結論：豆乳は適量を飲むことで、肥満や老化防止が期待できます。しかし、抗栄養素が豊富なため、過剰摂取は体に負担をかけます。
M0ce323R1Sg,fake,real,llm_partial_context,29,がんといえば抗がん剤、ホルモン療法なんかもありますが、それにですね、この高額の点滴書かれてない、一体何かというと、重大な副作用としてはフレイルがあるわけです。フレイルというのは、もうこのがんサバイバーでは、高齢者と比較すると、がんサバイバーではない高齢者と比較すると、高齢がんサバイバーは生活機能が悪化しやすいということが、このがんサバイバーシップというですね、教科書にも載ってるんですね。
vg2goGHLEZY,fake,real,llm_partial_context,14,重曹水の効果って、よくネットとかの記事を見ていると、いろいろ書いてはあるんですけど、水に重曹を溶かして飲んでもらうことが多いんですけど、これをすることで痩せたりとか、胃腸が良くなったり、便秘が解消されたり、あとは体が綺麗になったというふうに、いろいろ書かれているんですね。
vmXffmFJ9Sw,fake,real,llm_partial_context,24,福島先生、今回のワクチンの後遺症について、ネット上で最もよく目にするのが『雑誌に論考を掲載するより論文にせよ』という批判です。先生ならどのように反論されるでしょうか？
Q-RrPiMMj70,fake,real,auto_real_step1,0,
v6AnCELXV4Q,fake,real,llm_partial_context,37,ワクチン、新しいものができた時に不安になるっていうこと、実は全然悪いことではないと思うんですけれども、ただやっぱりその正確な情報がしっかり伝わった上で、危ないと思うのか安全と思うのかっていうことを選べるような情報をしっかり科学者側が与えるっていうことがやっぱりすごく大事だなと思っていて、僕はそのTwitterっていうプラットフォームでしつこくつぶやいてるわけですけど、やっぱりそれだけでは見てくれな
4Sy7WiObegs,fake,real,auto_real_step1,0,
HXd0taS2cfU,fake,real,llm_partial_context,17,ガン放置療法は最悪の選択
syITb2QnKPo,fake,real,llm_partial_context,14,ビタミンCを大量に点滴すると、その働きによって体の中で過酸化水素が発生します。これは細胞に対して毒性があり、特にガン細胞にダメージを与えます。
Axuu5mrELfA,fake,real,llm_partial_context,19,脳が疲れると、体が疲労してしまっているのと同じ状態になってしまうことが明らかになってます。脳が疲れてると、疲れてないはずの体まで疲れたように感じてしまうんですね。だから、デスクワークも仕事終わったら「今日疲れた」ってなるんですね。運動したわけじゃないのに。
